Date,DIS Close Price,NFLX Close Price
08-01-15,93.79,334.455
09-01-15,94.25,329.29
12-01-15,94.46,318.83
13-01-15,95.19,323.79
14-01-15,94.23,324.24
15-01-15,94.35,323.76
16-01-15,95.18,337.34
20-01-15,94.74,348.8
21-01-15,94.17,409.28
22-01-15,95.15,428.44
23-01-15,94.72,437.455
26-01-15,94.97,446.56
27-01-15,93.97,454.17
28-01-15,92.67,442.46
29-01-15,93.22,443.8
30-01-15,90.96,441.8
02-02-15,91.93,441.065
03-02-15,94.1,456.92
04-02-15,101.28,448.71
05-02-15,102.64,448.91
06-02-15,102.02,444.36
09-02-15,101.73,443.065
10-02-15,101.92,453.95
11-02-15,101.87,454.89
12-02-15,103.58,456.73
13-02-15,104.17,466.1
17-02-15,104.12,469.96
18-02-15,103.86,475.06
19-02-15,103.89,474.6
20-02-15,104.55,478.2
23-02-15,104.99,471.84
24-02-15,104.67,474.88
25-02-15,105.57,478.33
26-02-15,104.56,483.03
27-02-15,104.08,474.91
02-03-15,105.89,480.25
03-03-15,106.35,474.71
04-03-15,105.57,469.77
05-03-15,105.03,467.65
06-03-15,103.82,454.12
09-03-15,105.26,445.63
10-03-15,103.09,435.06
11-03-15,102.89,440.19
12-03-15,107.17,448.32
13-03-15,106.44,438.4
16-03-15,107.37,421.97
17-03-15,106.96,418.52
18-03-15,107.97,423.12
19-03-15,107.37,425.21
20-03-15,108.43,428.295
23-03-15,108.22,425
24-03-15,107.11,438.28
25-03-15,105,421.75
26-03-15,105.24,418.26
27-03-15,105.48,414.77
30-03-15,106.12,422.57
31-03-15,104.89,416.69
01-04-15,105.44,413.12
02-04-15,106,414.08
06-04-15,105.63,422.31
07-04-15,105.43,423.46
08-04-15,106.36,441.35
09-04-15,106.77,439.5
10-04-15,106.95,454.57
13-04-15,106.51,474.68
14-04-15,106.66,478.71
15-04-15,106.98,475.46
16-04-15,108.1,562.05
17-04-15,106.69,571.55
20-04-15,108.22,567.39
21-04-15,107.68,560.44
22-04-15,107.94,557.68
23-04-15,109,559.06
24-04-15,109.53,558.395
27-04-15,110.16,566.08
28-04-15,109.92,563.06
29-04-15,109.81,562.85
30-04-15,108.72,556.5
01-05-15,110.52,557.03
04-05-15,111.03,554.9
05-05-15,110.81,565.55
06-05-15,109.72,560.54
07-05-15,109.26,565.24
08-05-15,110.11,574.6
11-05-15,108.6,589.945
12-05-15,109.24,583.64
13-05-15,109.19,580.11
14-05-15,109.93,586.85
15-05-15,110.3,613.25
18-05-15,110.33,617.87
19-05-15,110.56,616.48
20-05-15,110.2,621.53
21-05-15,110.39,623.02
22-05-15,110.26,621.87
26-05-15,109.44,615.95
27-05-15,110.37,629
28-05-15,110.53,626.55
29-05-15,110.37,624.06
01-06-15,110.96,623.02
02-06-15,110.75,623.91
03-06-15,111.17,621.66
04-06-15,110.3,625.44
05-06-15,110.3,633.22
08-06-15,109.29,627.23
09-06-15,108.52,647.15
10-06-15,110,671.1
11-06-15,110.62,665.66
12-06-15,109.95,660.93
15-06-15,110.18,654.02
16-06-15,111.06,666.91
17-06-15,111.49,659.9
18-06-15,113.22,663.2
19-06-15,112.62,657.1
22-06-15,113.53,674.9
23-06-15,114.41,681.19
24-06-15,113.77,678.61
25-06-15,114.45,664.24
26-06-15,114.99,651.62
29-06-15,113.05,645.62
30-06-15,114.14,656.94
01-07-15,115.13,655.45
02-07-15,114.97,658.31
06-07-15,115.7,662
07-07-15,117.1,658.64
08-07-15,115.19,654.55
09-07-15,115.6,670.09
10-07-15,116.44,680.6
